Algoritmo,Quantum,NPROC,TME_Media,TME_Desvio_Padrao
FIFO,10,10,5595.4067,2571.4758
FIFO,10,20,14568.7817,2936.6794
FIFO,10,30,23429.4044,5657.6698
FIFO,10,40,29406.7258,6628.5861
FIFO,10,50,47654.6427,19102.8623
FIFO,10,60,42080.0267,7015.8589
FIFO,10,70,54409.6367,5408.8229
FIFO,10,80,63533.8729,6199.9059
FIFO,10,90,69261.6007,7567.6582
FIFO,10,100,76935.2007,10073.8837
FIFO,20,10,3670.4867,1923.1089
FIFO,20,20,6863.0633,1973.9725
FIFO,20,30,10489.1867,2119.541
FIFO,20,40,15037.1742,3462.7773
FIFO,20,50,19500.9707,4943.8503
FIFO,20,60,27833.0728,6400.2208
FIFO,20,70,26955.1657,5254.5523
FIFO,20,80,32177.8025,8631.4607
FIFO,20,90,39094.5878,6237.1668
FIFO,20,100,43735.7113,5444.8145
FIFO,30,10,2671.11,930.2805
FIFO,30,20,4851.7867,1081.5409
FIFO,30,30,9419.1311,3593.6259
FIFO,30,40,10691.7092,1698.8583
FIFO,30,50,13060.732,2302.9736
FIFO,30,60,18533.1006,3766.333
FIFO,30,70,22660.1138,6263.3242
FIFO,30,80,24759.4146,9430.328
FIFO,30,90,28284.9104,7270.987
FIFO,30,100,37036.264,8881.3395
SJF,10,10,4577.9833,1702.8738
SJF,10,20,12280.8,3995.2148
SJF,10,30,12443.6311,2054.3405
SJF,10,40,16436.455,1787.7864
SJF,10,50,22312.0473,5465.0471
SJF,10,60,24911.2211,4035.792
SJF,10,70,31889.8676,6651.1037
SJF,10,80,39427.68,9391.6463
SJF,10,90,41911.4641,4691.6938
SJF,10,100,48181.634,7624.8294
SJF,20,10,4304.71,1741.177
SJF,20,20,6541.33,1293.5596
SJF,20,30,10648.9433,2429.686
SJF,20,40,15555.7825,4201.3578
SJF,20,50,19812.5687,4849.2979
SJF,20,60,26478.3061,7192.9107
SJF,20,70,28498.8805,7476.4538
SJF,20,80,27163.8863,1942.2836
SJF,20,90,34241.6722,6256.2599
SJF,20,100,39014.4557,11097.0501
SJF,30,10,3427.0367,1097.5795
SJF,30,20,7914.3833,3114.4117
SJF,30,30,9875.2211,1306.448
SJF,30,40,13194.0642,2100.0758
SJF,30,50,24981.9627,10665.2471
SJF,30,60,20647.5256,3837.0299
SJF,30,70,27567.9581,7547.1574
SJF,30,80,31316.9317,6685.2673
SJF,30,90,36800.027,7020.283
SJF,30,100,40277.9333,5611.1425
LJF,10,10,6798.93,1675.2167
LJF,10,20,15508.0717,4418.2507
LJF,10,30,19043.4544,2483.7957
LJF,10,40,26237.9767,2689.7594
LJF,10,50,33929.72,3749.6332
LJF,10,60,41130.0528,4079.7695
LJF,10,70,52399.8948,6520.1245
LJF,10,80,79559.0425,40393.5791
LJF,10,90,87586.0074,30001.8182
LJF,10,100,77350.1423,12623.8426
LJF,20,10,9770.7067,6429.8295
LJF,20,20,9972.4233,2142.9825
LJF,20,30,15861.3789,3254.659
LJF,20,40,25198.1775,4760.8773
LJF,20,50,52954.0293,32366.5808
LJF,20,60,36052.9328,11601.4596
LJF,20,70,39187.3881,9797.9599
LJF,20,80,39619.3025,5618.6124
LJF,20,90,50808.1741,8595.9447
LJF,20,100,53299.603,5607.8705
LJF,30,10,4317.6233,1080.6292
LJF,30,20,8651.0917,2229.0372
LJF,30,30,12591.9256,1502.0616
LJF,30,40,16485.8275,1067.5794
LJF,30,50,21381.786,3175.1632
LJF,30,60,26021.7244,2398.373
LJF,30,70,31513.4148,3003.5453
LJF,30,80,34062.3742,2315.5803
LJF,30,90,38265.4219,2096.5512
LJF,30,100,47276.8767,6819.2289
PRIO_STATIC,10,10,15500.5133,5202.3229
PRIO_STATIC,10,20,29795.3667,8092.6709
PRIO_STATIC,10,30,42017.3967,6573.1085
PRIO_STATIC,10,40,58030.37,10286.8598
PRIO_STATIC,10,50,75661.1907,16048.9018
PRIO_STATIC,10,60,94331.0778,17415.4722
PRIO_STATIC,10,70,112790.9038,17035.5943
PRIO_STATIC,10,80,125729.9779,10516.7178
PRIO_STATIC,10,90,138282.4478,11324.3083
PRIO_STATIC,10,100,150471.1307,11166.9654
PRIO_STATIC,20,10,10996.46,2545.7875
PRIO_STATIC,20,20,21156.6633,3999.704
PRIO_STATIC,20,30,32603.24,8715.8439
PRIO_STATIC,20,40,44412.1533,9558.5559
PRIO_STATIC,20,50,55136.898,9330.2982
PRIO_STATIC,20,60,69290.4344,10589.7949
PRIO_STATIC,20,70,81497.0233,16382.9776
PRIO_STATIC,20,80,88769.3517,6565.2718
PRIO_STATIC,20,90,112649.6063,16876.0757
PRIO_STATIC,20,100,128947.651,21377.1269
PRIO_STATIC,30,10,10090.1167,2973.4342
PRIO_STATIC,30,20,18310.9883,2817.7071
PRIO_STATIC,30,30,29151.2989,4312.0194
PRIO_STATIC,30,40,38895.4525,5393.1216
PRIO_STATIC,30,50,47412.4047,3863.0431
PRIO_STATIC,30,60,62975.3767,13176.6796
PRIO_STATIC,30,70,74021.5995,12040.5037
PRIO_STATIC,30,80,79327.7979,6562.3198
PRIO_STATIC,30,90,97223.0722,21332.8126
PRIO_STATIC,30,100,114368.7893,26521.7347
PRIO_DYNAMIC,10,10,11412.82,4004.702
PRIO_DYNAMIC,10,20,25521.47,5588.0453
PRIO_DYNAMIC,10,30,37296.4278,6559.1025
PRIO_DYNAMIC,10,40,53579.8792,10902.2728
PRIO_DYNAMIC,10,50,68179.5227,14217.7834
PRIO_DYNAMIC,10,60,75366.9722,7122.7412
PRIO_DYNAMIC,10,70,102526.3329,12821.229
PRIO_DYNAMIC,10,80,120323.4025,9498.8281
PRIO_DYNAMIC,10,90,134879.1085,12248.8934
PRIO_DYNAMIC,10,100,158920.897,59068.7042
PRIO_DYNAMIC,20,10,6737.4733,2779.2886
PRIO_DYNAMIC,20,20,18200.3483,10385.0407
PRIO_DYNAMIC,20,30,21352.7644,2906.9425
PRIO_DYNAMIC,20,40,28354.0008,4440.3929
PRIO_DYNAMIC,20,50,35862.1527,6464.4008
